trade_id,version,source_iteration,symbol,entry_time,exit_time,entry_date,day_of_week,time_of_day_hhmm,signal_bar_index,entry_bar_index,exit_bar_index,session_break_flag,side,entry_signal_price,entry_fill_price,exit_signal_price,exit_fill_price,slippage_entry_points,slippage_exit_points,slippage_total_points,spread_at_entry_points,exit_reason,sl_price,tp_price,stop_distance_points,target_distance_points,rr_planned,contracts,position_notional,risk_dollars,max_risk_allowed_dollars,risk_utilization,commission_dollars,fees_dollars,gross_pnl_dollars,net_pnl_dollars,r_multiple,hold_bars,hold_minutes,mae_points,mfe_points,mae_dollars,mfe_dollars,equity_before,equity_after,zscore_entry,zscore_prev,zscore_delta,z_band_k,ema_fast,ema_slow,ema_spread,close_price,open_price,high_price,low_price,bar_range_points,bar_body_points,volume,volume_zscore,atr_points,distance_to_ema_fast_points,distance_to_ema_slow_points,label_win,label_hit_tp_first,data_quality_flag,rule_violation_flag,mfe_mae_ratio,entry_score
21,V3,V3,MNQ,2019-02-26 08:34:00,2019-02-27 09:02:00,2019-02-26,1,0834,53712,53713,54922,False,long,7100.75,7100.5,7080.5,7080.5,0.0,0.0,0.0,0.0,stop,7080.5,7160.5,20.0,60.0,3.0,50,710050.0,2000.0,2031.15,0.9846638603746646,0.0,0.0,-2000.0,-2000.0,-1.0,1210,1210,-22.5,50.5,-2250.0,5050.0,40623.0,38623.0,1.0816840970588222,-2.513295693570062,3.5949797906288845,2.5,7098.468715896419,7098.273269287736,0.19544660868268693,7100.75,7094.0,7101.5,7094.0,7.5,6.75,2705.0,1.760472181155952,3.7857142857142856,2.281284103581129,2.476730712263816,0,0,0,0,2.2444444444444445,0.6340098831109874
22,V3,V3,MNQ,2019-02-28 05:00:00,2019-03-01 02:45:00,2019-02-28,3,0500,56043,56044,57274,False,long,7090.0,7090.0,7150.0,7150.0,0.0,0.0,0.0,0.0,take_profit,7070.0,7150.0,20.0,60.0,3.0,48,680640.0,1920.0,1931.15,0.9942262382518188,0.0,0.0,5760.0,5760.0,3.0,1231,1231,-5.5,60.0,-528.0,5760.0,38623.0,44383.0,-1.0391774666350178,-2.6559432070539533,1.6167657404189355,2.5,7090.402787159091,7090.378004880926,0.024782278164821037,7090.0,7089.0,7091.0,7089.0,2.0,1.0,71.0,1.4215859782421558,1.1785714285714286,-0.40278715909062157,-0.37800488092580053,1,1,0,0,10.909090909090908,0.4209883367022024
23,V3,V3,MNQ,2019-03-07 10:53:00,2019-03-07 11:32:00,2019-03-07,3,1053,63220,63221,63260,False,long,7069.5,7069.5,7049.5,7049.5,0.0,0.0,0.0,0.0,stop,7049.5,7129.5,20.0,60.0,3.0,55,777645.0,2200.0,2219.15,0.9913705698127661,0.0,0.0,-2200.0,-2200.0,-1.0,40,40,-20.0,2.75,-2200.0,302.5,44383.0,42183.0,0.9088116232490301,-2.547323840485162,3.456135463734192,2.5,7067.006334140893,7065.699894966936,1.3064391739571874,7069.5,7063.25,7069.5,7063.0,6.5,6.25,1037.0,0.47616844271810604,3.232142857142857,2.493665859106841,3.8001050330640282,0,0,0,0,0.1375,0.6092548437267882
24,V3,V3,MNQ,2019-03-11 18:21:00,2019-03-12 06:04:00,2019-03-11,0,1821,66321,66322,67023,False,long,7218.25,7218.0,7198.0,7198.0,0.0,0.0,0.0,0.0,stop,7198.0,7278.0,20.0,60.0,3.0,52,750672.0,2080.0,2109.15,0.9861792665291704,0.0,0.0,-2080.0,-2080.0,-1.0,702,702,-21.5,11.25,-2236.0,1170.0,42183.0,40103.0,-2.2258475675878633,-2.7323742617478555,0.5065266941599922,2.5,7220.121741984337,7219.126562108118,0.9951798762185717,7218.25,7218.5,7218.5,7217.75,0.75,0.25,32.0,-0.8299830124000147,1.3571428571428572,-1.8717419843369498,-0.8765621081183781,0,0,0,0,0.5232558139534884,0.4325594678541951
25,V3,V3,MNQ,2019-03-13 14:29:00,2019-03-13 15:59:00,2019-03-13,2,1429,68892,68893,68968,False,short,7297.75,7297.75,7237.75,7302.75,0.0,0.0,0.0,0.0,opposite_signal,7317.75,7237.75,20.0,60.0,3.0,50,729775.0,2000.0,2005.15,0.9974316135949929,0.0,0.0,-500.0,-500.0,-0.25,76,76,-6.0,16.0,-600.0,1600.0,40103.0,39603.0,0.6272099654210871,2.7571719472915426,-2.1299619818704554,2.5,7297.391931627808,7297.679931837425,-0.28800020961716655,7297.75,7300.5,7302.0,7297.5,4.5,2.75,902.0,0.1015508843783647,4.410714285714286,0.358068372192065,0.07006816257489845,0,0,0,0,2.6666666666666665,0.4515407713679359
26,V3,V3,MNQ,2019-03-13 17:40:00,2019-03-13 19:53:00,2019-03-13,2,1740,69007,69008,69141,False,long,7306.5,7306.25,7286.25,7286.25,0.0,0.0,0.0,0.0,stop,7286.25,7366.25,20.0,60.0,3.0,49,716012.5,1960.0,1980.15,0.9898240032320783,0.0,0.0,-1960.0,-1960.0,-1.0,134,134,-20.5,3.0,-2009.0,294.0,39603.0,37643.0,-1.9248537750963441,-2.512505493593463,0.5876517184971188,2.5,7308.126538241928,7307.764926021854,0.36161222007376637,7306.5,7306.0,7306.5,7305.5,1.0,0.5,52.0,0.5678171503641887,0.9642857142857143,-1.6265382419278467,-1.2649260218540803,0,0,0,0,0.14634146341463414,0.48034072383079446
27,V3,V3,MNQ,2019-03-20 17:02:00,2019-03-20 19:03:00,2019-03-20,2,1702,75792,75793,75914,False,short,7403.0,7403.5,7423.5,7423.5,0.0,0.0,0.0,0.0,stop,7423.5,7343.5,20.0,60.0,3.0,47,695929.0,1880.0,1882.15,0.9988576893446324,0.0,0.0,-1880.0,-1880.0,-1.0,122,122,-22.75,3.0,-2138.5,282.0,37643.0,35763.0,1.9857564841130588,2.9718303620722666,-0.9860738779592078,2.5,7400.833640148526,7401.065616815861,-0.23197666733540245,7403.0,7404.25,7404.5,7402.25,2.25,1.25,108.0,0.3819424380614677,1.8571428571428572,2.166359851474226,1.9343831841388237,0,0,0,0,0.13186813186813187,0.48306294811890643
28,V3,V3,MNQ,2019-03-24 17:01:00,2019-03-24 17:22:00,2019-03-24,6,1701,78521,78522,78543,True,long,7385.75,7386.0,7366.0,7366.0,0.0,0.0,0.0,0.0,stop,7366.0,7446.0,20.0,60.0,3.0,44,649968.0,1760.0,1788.15,0.9842574728070911,0.0,0.0,-1760.0,-1760.0,-1.0,22,22,-21.0,4.5,-1848.0,396.0,35763.0,34003.0,3.953670563857237,-2.5554055606735675,6.509076124530805,2.5,7366.432944409062,7365.757470106255,0.6754743028068333,7385.75,7372.25,7385.75,7372.25,13.5,13.5,963.0,4.187110137853745,3.8035714285714284,19.317055590938253,19.992529893745086,0,0,0,0,0.21428571428571427,0.7220189721122734
29,V3,V3,MNQ,2019-03-25 00:18:00,2019-03-25 01:52:00,2019-03-25,0,0018,78958,78959,79053,False,long,7317.75,7318.25,7298.25,7298.25,0.0,0.0,0.0,0.0,stop,7298.25,7378.25,20.0,60.0,3.0,42,614733.0,1680.0,1700.15,0.9881481045790077,0.0,0.0,-1680.0,-1680.0,-1.0,95,95,-20.75,4.0,-1743.0,336.0,34003.0,32323.0,0.4750018325721415,-2.815306490199238,3.29030832277138,2.5,7316.761152146618,7316.715466049961,0.04568609665693657,7317.75,7314.75,7318.0,7314.75,3.25,3.0,54.0,0.3980129364461754,1.3928571428571428,0.9888478533821399,1.0345339500390764,0,0,0,0,0.1927710843373494,0.39884365856118503
30,V3,V3,MNQ,2019-03-28 01:57:00,2019-03-29 02:13:00,2019-03-28,3,0157,83151,83152,84532,False,long,7320.25,7320.0,7380.0,7380.0,0.0,0.0,0.0,0.0,take_profit,7300.0,7380.0,20.0,60.0,3.0,40,585600.0,1600.0,1616.15,0.9900071156761439,0.0,0.0,4800.0,4800.0,3.0,1381,1381,-18.5,62.25,-1480.0,4980.0,32323.0,37123.0,-1.6323200378862108,-2.746564844504347,1.1142448066181363,2.5,7321.084381227582,7321.077425096275,0.006956131306651514,7320.25,7319.0,7320.75,7319.0,1.75,1.25,39.0,-0.29716400710311847,1.2678571428571428,-0.8343812275816163,-0.8274250962749647,1,1,0,0,3.364864864864865,0.4365091915428741
