date,trades_count,pnl_day_dollars,equity_eod
2019-03-21,0,0.0,35763.0
2019-03-22,0,0.0,35763.0
2019-03-23,0,0.0,35763.0
2019-03-24,1,-1760.0,34003.0
2019-03-25,1,-1680.0,32323.0
2019-03-26,0,0.0,32323.0
2019-03-27,0,0.0,32323.0
2019-03-28,1,4800.0,37123.0
2019-03-29,0,0.0,37123.0
2019-03-30,0,0.0,37123.0
2019-03-31,1,5520.0,42643.0
2019-04-01,0,0.0,42643.0
2019-04-02,0,0.0,42643.0
2019-04-03,0,0.0,42643.0
2019-04-04,1,6360.0,49003.0
2019-04-05,0,0.0,49003.0
2019-04-06,0,0.0,49003.0
2019-04-07,0,0.0,49003.0
2019-04-08,0,0.0,49003.0
2019-04-09,0,0.0,49003.0
2019-04-10,0,0.0,49003.0
2019-04-11,1,-640.5,48362.5
2019-04-12,1,-2400.0,45962.5
2019-04-13,0,0.0,45962.5
2019-04-14,0,0.0,45962.5
2019-04-15,1,3249.0,49211.5
2019-04-16,0,0.0,49211.5
2019-04-17,1,-2440.0,46771.5
2019-04-18,0,0.0,46771.5
2019-04-19,0,0.0,46771.5
2019-04-20,0,0.0,46771.5
2019-04-21,0,0.0,46771.5
2019-04-22,0,0.0,46771.5
2019-04-23,0,0.0,46771.5
2019-04-24,1,-2320.0,44451.5
2019-04-25,1,-2200.0,42251.5
2019-04-26,1,-1144.0,41107.5
2019-04-27,0,0.0,41107.5
2019-04-28,0,0.0,41107.5
2019-04-29,0,0.0,41107.5
2019-04-30,0,0.0,41107.5
2019-05-01,0,0.0,41107.5
2019-05-02,0,0.0,41107.5
2019-05-03,0,0.0,41107.5
2019-05-04,0,0.0,41107.5
2019-05-05,1,6120.0,47227.5
2019-05-06,0,0.0,47227.5
2019-05-07,0,0.0,47227.5
2019-05-08,2,4360.0,51587.5
2019-05-09,0,0.0,51587.5
2019-05-10,2,-5000.0,46587.5
2019-05-11,0,0.0,46587.5
2019-05-12,0,0.0,46587.5
2019-05-13,1,-2320.0,44267.5
2019-05-14,0,0.0,44267.5
2019-05-15,0,0.0,44267.5
2019-05-16,0,0.0,44267.5
2019-05-17,0,0.0,44267.5
2019-05-18,0,0.0,44267.5
2019-05-19,0,0.0,44267.5
2019-05-20,0,0.0,44267.5
2019-05-21,0,0.0,44267.5
2019-05-22,0,0.0,44267.5
2019-05-23,1,-2200.0,42067.5
2019-05-24,1,-2080.0,39987.5
2019-05-25,0,0.0,39987.5
2019-05-26,0,0.0,39987.5
2019-05-27,1,-1960.0,38027.5
2019-05-28,0,0.0,38027.5
2019-05-29,1,-1880.0,36147.5
2019-05-30,0,0.0,36147.5
2019-05-31,1,-1800.0,34347.5
2019-06-01,0,0.0,34347.5
2019-06-02,0,0.0,34347.5
2019-06-03,0,0.0,34347.5
2019-06-04,0,0.0,34347.5
2019-06-05,2,3120.0,37467.5
2019-06-06,2,3440.0,40907.5
2019-06-07,0,0.0,40907.5
2019-06-08,0,0.0,40907.5
2019-06-09,0,0.0,40907.5
2019-06-10,0,0.0,40907.5
2019-06-11,0,0.0,40907.5
2019-06-12,0,0.0,40907.5
2019-06-13,0,0.0,40907.5
2019-06-14,0,0.0,40907.5
2019-06-15,0,0.0,40907.5
2019-06-16,0,0.0,40907.5
2019-06-17,1,-2040.0,38867.5
2019-06-18,0,0.0,38867.5
2019-06-19,0,0.0,38867.5
2019-06-20,0,0.0,38867.5
2019-06-21,0,0.0,38867.5
2019-06-22,0,0.0,38867.5
2019-06-23,0,0.0,38867.5
2019-06-24,0,0.0,38867.5
