entry_time,side,entry_fill_price,sl_price,tp_price,net_pnl_dollars,cumulative_net_pnl_dollars
2022-08-08 23:51:00,long,13215.5,13185.5,13275.5,-0.0,-48807.0
2022-08-09 00:26:00,long,13212.25,13182.25,13272.25,-0.0,-48807.0
2022-08-09 00:29:00,long,13212.0,13182.0,13272.0,-0.0,-48807.0
2022-08-09 00:32:00,long,13214.0,13184.0,13274.0,-0.0,-48807.0
2022-08-09 00:48:00,long,13211.25,13181.25,13271.25,-0.0,-48807.0
2022-08-09 01:54:00,long,13195.5,13165.5,13255.5,-0.0,-48807.0
2022-08-09 02:58:00,long,13195.5,13165.5,13255.5,-0.0,-48807.0
2022-08-09 03:21:00,long,13189.5,13159.5,13249.5,0.0,-48807.0
2022-08-09 04:00:00,long,13195.75,13165.75,13255.75,-0.0,-48807.0
2022-08-09 04:17:00,long,13196.75,13166.75,13256.75,-0.0,-48807.0
2022-08-09 04:51:00,long,13182.25,13152.25,13242.25,-0.0,-48807.0
2022-08-09 06:01:00,long,13123.25,13093.25,13183.25,-0.0,-48807.0
2022-08-09 06:36:00,long,13126.5,13096.5,13186.5,-0.0,-48807.0
2022-08-09 07:21:00,long,13100.25,13070.25,13160.25,0.0,-48807.0
2022-08-09 08:06:00,long,13109.0,13079.0,13169.0,-0.0,-48807.0
2022-08-09 08:30:00,long,13101.0,13071.0,13161.0,-0.0,-48807.0
2022-08-09 08:48:00,long,13087.25,13057.25,13147.25,-0.0,-48807.0
2022-08-09 09:29:00,long,13013.25,12983.25,13073.25,0.0,-48807.0
2022-08-09 10:15:00,long,13037.25,13007.25,13097.25,-0.0,-48807.0
2022-08-09 12:00:00,long,12984.25,12954.25,13044.25,-0.0,-48807.0
2022-08-09 12:13:00,long,12991.5,12961.5,13051.5,-0.0,-48807.0
2022-08-09 12:50:00,long,13001.75,12971.75,13061.75,0.0,-48807.0
2022-08-09 13:38:00,long,13011.0,12981.0,13071.0,0.0,-48807.0
2022-08-09 14:10:00,long,13032.0,13002.0,13092.0,-0.0,-48807.0
2022-08-09 14:16:00,long,13035.5,13005.5,13095.5,0.0,-48807.0
2022-08-09 14:41:00,long,13047.75,13017.75,13107.75,-0.0,-48807.0
2022-08-09 15:03:00,long,13043.25,13013.25,13103.25,0.0,-48807.0
2022-08-09 15:48:00,long,13047.5,13017.5,13107.5,-0.0,-48807.0
2022-08-09 15:50:00,long,13049.75,13019.75,13109.75,-0.0,-48807.0
2022-08-09 17:03:00,long,13048.75,13018.75,13108.75,-0.0,-48807.0
2022-08-09 17:07:00,long,13051.25,13021.25,13111.25,-0.0,-48807.0
2022-08-09 17:14:00,long,13051.5,13021.5,13111.5,-0.0,-48807.0
2022-08-09 17:55:00,long,13047.25,13017.25,13107.25,0.0,-48807.0
2022-08-09 18:50:00,long,13046.0,13016.0,13106.0,-0.0,-48807.0
2022-08-09 20:02:00,long,13026.5,12996.5,13086.5,0.0,-48807.0
2022-08-09 20:45:00,long,13037.0,13007.0,13097.0,-0.0,-48807.0
2022-08-09 20:49:00,long,13038.5,13008.5,13098.5,-0.0,-48807.0
2022-08-09 21:55:00,long,13020.25,12990.25,13080.25,-0.0,-48807.0
2022-08-09 22:45:00,long,13021.0,12991.0,13081.0,-0.0,-48807.0
2022-08-09 23:05:00,long,13022.25,12992.25,13082.25,-0.0,-48807.0
2022-08-09 23:35:00,long,13020.75,12990.75,13080.75,-0.0,-48807.0
2022-08-09 23:37:00,long,13021.25,12991.25,13081.25,-0.0,-48807.0
2022-08-10 00:35:00,long,13017.25,12987.25,13077.25,-0.0,-48807.0
2022-08-10 01:36:00,long,12993.75,12963.75,13053.75,0.0,-48807.0
2022-08-10 02:16:00,long,13008.5,12978.5,13068.5,0.0,-48807.0
2022-08-10 04:16:00,short,13086.0,13116.0,13026.0,0.0,-48807.0
2022-08-10 05:23:00,short,13065.0,13095.0,13005.0,0.0,-48807.0
2022-08-10 07:25:00,short,13086.75,13116.75,13026.75,-0.0,-48807.0
2022-08-10 08:09:00,short,13316.0,13346.0,13256.0,-0.0,-48807.0
2022-08-10 08:33:00,short,13302.0,13332.0,13242.0,-0.0,-48807.0
2022-08-10 08:47:00,long,13331.5,13301.5,13391.5,-0.0,-48807.0
2022-08-10 08:57:00,short,13304.75,13334.75,13244.75,-0.0,-48807.0
2022-08-10 09:13:00,short,13301.5,13331.5,13241.5,0.0,-48807.0
2022-08-10 09:35:00,long,13296.75,13266.75,13356.75,0.0,-48807.0
2022-08-10 10:18:00,short,13342.75,13372.75,13282.75,-0.0,-48807.0
2022-08-10 10:40:00,short,13349.5,13379.5,13289.5,-0.0,-48807.0
2022-08-10 11:07:00,short,13359.75,13389.75,13299.75,0.0,-48807.0
2022-08-10 11:49:00,short,13339.5,13369.5,13279.5,-0.0,-48807.0
2022-08-10 12:33:00,short,13338.75,13368.75,13278.75,-0.0,-48807.0
2022-08-10 12:37:00,short,13349.5,13379.5,13289.5,-0.0,-48807.0
2022-08-10 13:12:00,short,13368.5,13398.5,13308.5,0.0,-48807.0
2022-08-10 13:47:00,short,13355.0,13385.0,13295.0,-0.0,-48807.0
2022-08-10 15:05:00,short,13385.75,13415.75,13325.75,-0.0,-48807.0
2022-08-10 15:48:00,short,13386.75,13416.75,13326.75,0.0,-48807.0
2022-08-10 17:52:00,short,13374.0,13404.0,13314.0,-0.0,-48807.0
2022-08-10 19:41:00,short,13427.0,13457.0,13367.0,-0.0,-48807.0
2022-08-10 20:33:00,short,13445.75,13475.75,13385.75,0.0,-48807.0
2022-08-10 21:44:00,short,13442.5,13472.5,13382.5,0.0,-48807.0
2022-08-10 23:00:00,short,13443.25,13473.25,13383.25,-0.0,-48807.0
2022-08-10 23:11:00,short,13445.5,13475.5,13385.5,-0.0,-48807.0
2022-08-10 23:42:00,short,13443.75,13473.75,13383.75,0.0,-48807.0
2022-08-11 00:27:00,short,13436.75,13466.75,13376.75,-0.0,-48807.0
2022-08-11 00:53:00,short,13439.75,13469.75,13379.75,-0.0,-48807.0
2022-08-11 02:04:00,short,13458.0,13488.0,13398.0,-0.0,-48807.0
2022-08-11 02:30:00,short,13453.0,13483.0,13393.0,0.0,-48807.0
2022-08-11 04:03:00,long,13416.25,13386.25,13476.25,-0.0,-48807.0
2022-08-11 04:19:00,long,13412.25,13382.25,13472.25,0.0,-48807.0
2022-08-11 05:33:00,long,13417.75,13387.75,13477.75,-0.0,-48807.0
2022-08-11 05:48:00,long,13418.5,13388.5,13478.5,-0.0,-48807.0
2022-08-11 05:57:00,long,13420.25,13390.25,13480.25,-0.0,-48807.0
2022-08-11 06:05:00,long,13417.5,13387.5,13477.5,0.0,-48807.0
2022-08-11 07:36:00,short,13462.0,13492.0,13402.0,-0.0,-48807.0
2022-08-11 08:08:00,short,13488.5,13518.5,13428.5,-0.0,-48807.0
2022-08-11 08:12:00,short,13488.5,13518.5,13428.5,-0.0,-48807.0
2022-08-11 08:35:00,short,13460.0,13490.0,13400.0,-0.0,-48807.0
2022-08-11 08:43:00,long,13501.0,13471.0,13561.0,-0.0,-48807.0
2022-08-11 08:59:00,short,13485.0,13515.0,13425.0,-0.0,-48807.0
2022-08-11 09:28:00,short,13532.0,13562.0,13472.0,-0.0,-48807.0
2022-08-11 09:39:00,short,13534.75,13564.75,13474.75,0.0,-48807.0
2022-08-11 10:33:00,long,13429.75,13399.75,13489.75,-0.0,-48807.0
2022-08-11 10:42:00,long,13426.25,13396.25,13486.25,-0.0,-48807.0
2022-08-11 11:28:00,long,13396.75,13366.75,13456.75,0.0,-48807.0
2022-08-11 11:50:00,long,13414.25,13384.25,13474.25,-0.0,-48807.0
2022-08-11 12:17:00,long,13422.25,13392.25,13482.25,-0.0,-48807.0
2022-08-11 12:44:00,long,13421.5,13391.5,13481.5,-0.0,-48807.0
2022-08-11 14:20:00,long,13317.75,13287.75,13377.75,-0.0,-48807.0
2022-08-11 14:54:00,long,13322.25,13292.25,13382.25,-0.0,-48807.0
2022-08-11 15:00:00,long,13317.5,13287.5,13377.5,0.0,-48807.0
2022-08-11 17:57:00,long,13326.5,13296.5,13386.5,0.0,-48807.0
2022-08-11 18:46:00,long,13335.0,13305.0,13395.0,-0.0,-48807.0
2022-08-11 18:56:00,long,13333.75,13303.75,13393.75,-0.0,-48807.0
2022-08-11 18:59:00,long,13333.75,13303.75,13393.75,0.0,-48807.0
2022-08-11 19:25:00,long,13336.75,13306.75,13396.75,-0.0,-48807.0
2022-08-11 20:07:00,long,13323.0,13293.0,13383.0,-0.0,-48807.0
2022-08-11 20:17:00,long,13322.75,13292.75,13382.75,0.0,-48807.0
2022-08-11 21:09:00,long,13330.25,13300.25,13390.25,0.0,-48807.0
2022-08-11 22:31:00,long,13340.0,13310.0,13400.0,-0.0,-48807.0
2022-08-11 22:33:00,long,13340.0,13310.0,13400.0,-0.0,-48807.0
2022-08-11 22:41:00,long,13341.0,13311.0,13401.0,0.0,-48807.0
2022-08-11 23:37:00,long,13344.75,13314.75,13404.75,-0.0,-48807.0
2022-08-12 00:03:00,long,13351.5,13321.5,13411.5,-0.0,-48807.0
2022-08-12 00:26:00,long,13350.0,13320.0,13410.0,-0.0,-48807.0
2022-08-12 00:55:00,long,13350.0,13320.0,13410.0,0.0,-48807.0
2022-08-12 01:57:00,long,13357.0,13327.0,13417.0,-0.0,-48807.0
2022-08-12 02:22:00,long,13355.5,13325.5,13415.5,0.0,-48807.0
2022-08-12 03:17:00,long,13389.25,13359.25,13449.25,0.0,-48807.0
2022-08-12 04:24:00,long,13391.25,13361.25,13451.25,-0.0,-48807.0
2022-08-12 04:37:00,long,13388.0,13358.0,13448.0,-0.0,-48807.0
2022-08-12 05:33:00,long,13377.5,13347.5,13437.5,-0.0,-48807.0
2022-08-12 06:34:00,long,13361.5,13331.5,13421.5,-0.0,-48807.0
2022-08-12 06:54:00,long,13362.5,13332.5,13422.5,-0.0,-48807.0
2022-08-12 07:08:00,long,13362.75,13332.75,13422.75,0.0,-48807.0
2022-08-12 07:51:00,long,13386.0,13356.0,13446.0,0.0,-48807.0
2022-08-12 08:42:00,long,13421.25,13391.25,13481.25,-0.0,-48807.0
2022-08-12 08:51:00,short,13394.0,13424.0,13334.0,-0.0,-48807.0
2022-08-12 08:57:00,short,13397.0,13427.0,13337.0,-0.0,-48807.0
2022-08-12 09:01:00,short,13382.5,13412.5,13322.5,-0.0,-48807.0
2022-08-12 09:03:00,long,13407.75,13377.75,13467.75,-0.0,-48807.0
2022-08-12 09:11:00,long,13443.0,13413.0,13503.0,-0.0,-48807.0
2022-08-12 09:56:00,long,13423.75,13393.75,13483.75,0.0,-48807.0
2022-08-12 10:50:00,short,13466.25,13496.25,13406.25,-0.0,-48807.0
2022-08-12 11:42:00,short,13483.0,13513.0,13423.0,-0.0,-48807.0
2022-08-12 11:52:00,short,13487.0,13517.0,13427.0,-0.0,-48807.0
2022-08-12 12:46:00,short,13501.0,13531.0,13441.0,-0.0,-48807.0
2022-08-12 14:48:00,short,13554.5,13584.5,13494.5,-0.0,-48807.0
2022-08-12 14:54:00,short,13561.5,13591.5,13501.5,-0.0,-48807.0
2022-08-12 15:09:00,short,13565.25,13595.25,13505.25,-0.0,-48807.0
2022-08-14 17:01:00,short,13567.5,13597.5,13507.5,0.0,-48807.0
2022-08-14 17:52:00,short,13551.0,13581.0,13491.0,-0.0,-48807.0
2022-08-14 17:56:00,short,13549.75,13579.75,13489.75,-0.0,-48807.0
2022-08-14 18:22:00,short,13556.25,13586.25,13496.25,0.0,-48807.0
2022-08-14 19:27:00,short,13543.0,13573.0,13483.0,-0.0,-48807.0
2022-08-14 20:04:00,short,13545.0,13575.0,13485.0,0.0,-48807.0
2022-08-14 21:06:00,short,13548.75,13578.75,13488.75,0.0,-48807.0
2022-08-14 22:46:00,short,13545.25,13575.25,13485.25,0.0,-48807.0
2022-08-14 22:48:00,short,13545.0,13575.0,13485.0,0.0,-48807.0
2022-08-14 23:24:00,short,13543.25,13573.25,13483.25,-0.0,-48807.0
2022-08-14 23:31:00,short,13542.75,13572.75,13482.75,-0.0,-48807.0
2022-08-14 23:52:00,short,13543.5,13573.5,13483.5,-0.0,-48807.0
2022-08-15 00:12:00,short,13546.75,13576.75,13486.75,0.0,-48807.0
2022-08-15 01:32:00,short,13545.0,13575.0,13485.0,0.0,-48807.0
2022-08-15 02:51:00,short,13513.0,13543.0,13453.0,-0.0,-48807.0
2022-08-15 02:57:00,short,13513.25,13543.25,13453.25,-0.0,-48807.0
2022-08-15 03:17:00,short,13514.5,13544.5,13454.5,-0.0,-48807.0
2022-08-15 03:50:00,short,13522.0,13552.0,13462.0,-0.0,-48807.0
2022-08-15 04:17:00,short,13512.75,13542.75,13452.75,0.0,-48807.0
2022-08-15 05:26:00,short,13522.5,13552.5,13462.5,-0.0,-48807.0
2022-08-15 05:29:00,short,13520.0,13550.0,13460.0,-0.0,-48807.0
2022-08-15 06:19:00,short,13542.0,13572.0,13482.0,-0.0,-48807.0
2022-08-15 06:25:00,short,13539.5,13569.5,13479.5,0.0,-48807.0
2022-08-15 07:38:00,short,13525.5,13555.5,13465.5,0.0,-48807.0
2022-08-15 09:12:00,short,13577.0,13607.0,13517.0,-0.0,-48807.0
2022-08-15 09:49:00,short,13563.0,13593.0,13503.0,-0.0,-48807.0
2022-08-15 10:11:00,short,13556.25,13586.25,13496.25,-0.0,-48807.0
2022-08-15 11:21:00,short,13639.75,13669.75,13579.75,-0.0,-48807.0
2022-08-15 12:22:00,short,13662.75,13692.75,13602.75,-0.0,-48807.0
2022-08-15 12:32:00,short,13663.5,13693.5,13603.5,-0.0,-48807.0
2022-08-15 12:34:00,short,13665.5,13695.5,13605.5,0.0,-48807.0
2022-08-15 13:08:00,short,13654.0,13684.0,13594.0,-0.0,-48807.0
2022-08-15 13:26:00,short,13647.5,13677.5,13587.5,-0.0,-48807.0
2022-08-15 13:32:00,short,13651.25,13681.25,13591.25,-0.0,-48807.0
2022-08-15 14:41:00,short,13689.0,13719.0,13629.0,-0.0,-48807.0
2022-08-15 14:51:00,short,13693.25,13723.25,13633.25,0.0,-48807.0
2022-08-15 15:52:00,short,13676.25,13706.25,13616.25,0.0,-48807.0
2022-08-15 17:48:00,short,13672.25,13702.25,13612.25,0.0,-48807.0
2022-08-15 18:31:00,short,13670.75,13700.75,13610.75,-0.0,-48807.0
2022-08-15 19:02:00,short,13671.25,13701.25,13611.25,0.0,-48807.0
2022-08-15 19:52:00,short,13664.0,13694.0,13604.0,-0.0,-48807.0
2022-08-15 20:13:00,short,13663.75,13693.75,13603.75,0.0,-48807.0
2022-08-15 21:39:00,short,13665.25,13695.25,13605.25,-0.0,-48807.0
2022-08-15 22:10:00,short,13672.5,13702.5,13612.5,0.0,-48807.0
2022-08-15 22:59:00,short,13662.5,13692.5,13602.5,-0.0,-48807.0
2022-08-15 23:30:00,short,13666.25,13696.25,13606.25,-0.0,-48807.0
2022-08-15 23:37:00,short,13666.5,13696.5,13606.5,-0.0,-48807.0
2022-08-16 00:04:00,short,13668.0,13698.0,13608.0,0.0,-48807.0
