trade_id,combo_id,entry_time,entry_date,exit_time,equity_before,equity_after,side,entry_fill_price,exit_price,sl_price,tp_price,stop_pts,tp_pts,min_rr_planned,rr_planned,z_band_k,contracts,pnl_points,r_multiple,gross_pnl_dollars,friction_dollars,net_pnl_dollars,cumulative_net_pnl_dollars,exit_reason,label_win,label_hit_tp_first,mae_points,mfe_points,mfe_mae_ratio,hold_bars,entry_bar_idx,exit_bar_idx
156,865,2025-11-18T13:00:00,2025-11-18,2025-11-18T13:00:00,3742.03819016731,3702.002691464877,short,24712.0,24729.017749351216,24729.017749351216,24680.55713661314,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,-17.01774935121648,-1.0000000000000167,-34.03549870243296,6.0,-40.03549870243296,1702.002691464877,stop,False,False,-98.25,26.0,0.26463104325699743,1,6150,6150
157,865,2025-11-19T11:00:00,2025-11-19,2025-11-19T11:00:00,3702.002691464877,3758.8884182385955,short,24714.5,24683.05713661314,24731.517749351216,24683.05713661314,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,31.442863386859244,1.8476511046163775,62.88572677371849,6.0,56.88572677371849,1758.8884182385955,take_profit,True,True,-6.75,207.5,30.74074074074074,1,6171,6171
158,865,2025-11-21T13:00:00,2025-11-21,2025-11-21T13:00:00,3758.8884182385955,3815.774145012314,short,24477.5,24446.05713661314,24494.517749351216,24446.05713661314,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,31.442863386859244,1.8476511046163775,62.88572677371849,6.0,56.88572677371849,1815.774145012314,take_profit,True,True,-118.75,50.0,0.42105263157894735,1,6219,6219
159,865,2025-11-30T21:00:00,2025-11-30,2025-11-30T21:00:00,3815.774145012314,3775.738646309881,long,25281.25,25264.232250648784,25264.232250648784,25312.69286338686,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,-17.01774935121648,-1.0000000000000167,-34.03549870243296,6.0,-40.03549870243296,1775.738646309881,stop,False,False,-44.0,2.5,0.056818181818181816,1,6320,6320
160,865,2025-12-01T09:00:00,2025-12-01,2025-12-01T09:00:00,3775.738646309881,3832.6243730835995,long,25365.75,25397.19286338686,25348.732250648784,25397.19286338686,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,31.442863386859244,1.8476511046163775,62.88572677371849,6.0,56.88572677371849,1832.6243730835995,take_profit,True,True,-98.25,54.25,0.5521628498727735,1,6332,6332
161,865,2025-12-01T17:00:00,2025-12-01,2025-12-01T17:00:00,3832.6243730835995,3792.5888743811665,long,25411.5,25394.482250648784,25394.482250648784,25442.94286338686,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,-17.01774935121648,-1.0000000000000167,-34.03549870243296,6.0,-40.03549870243296,1792.5888743811665,stop,False,False,-33.0,13.5,0.4090909090909091,1,6339,6339
162,865,2025-12-02T13:00:00,2025-12-02,2025-12-02T13:00:00,3792.5888743811665,3849.474601154885,long,25577.25,25608.69286338686,25560.232250648784,25608.69286338686,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,31.442863386859244,1.8476511046163775,62.88572677371849,6.0,56.88572677371849,1849.474601154885,take_profit,True,True,-14.0,65.75,4.696428571428571,1,6359,6359
163,865,2025-12-03T11:00:00,2025-12-03,2025-12-03T11:00:00,3849.474601154885,3906.3603279286035,long,25560.75,25592.19286338686,25543.732250648784,25592.19286338686,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,31.442863386859244,1.8476511046163775,62.88572677371849,6.0,56.88572677371849,1906.3603279286035,take_profit,True,True,-5.75,76.5,13.304347826086957,1,6380,6380
164,865,2025-12-04T11:00:00,2025-12-04,2025-12-04T11:00:00,3906.3603279286035,3866.3248292261706,long,25641.75,25624.732250648784,25624.732250648784,25673.19286338686,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,-17.01774935121648,-1.0000000000000167,-34.03549870243296,6.0,-40.03549870243296,1866.3248292261706,stop,False,False,-56.0,11.5,0.20535714285714285,1,6403,6403
165,865,2025-12-05T10:00:00,2025-12-05,2025-12-05T10:00:00,3866.3248292261706,3826.2893305237376,long,25743.0,25725.982250648784,25725.982250648784,25774.44286338686,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,-17.01774935121648,-1.0000000000000167,-34.03549870243296,6.0,-40.03549870243296,1826.2893305237376,stop,False,False,-91.75,24.0,0.2615803814713896,1,6425,6425
166,865,2025-12-08T18:00:00,2025-12-08,2025-12-08T19:00:00,3826.2893305237376,3883.175057297456,short,25727.25,25695.80713661314,25744.267749351216,25695.80713661314,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,31.442863386859244,1.8476511046163775,62.88572677371849,6.0,56.88572677371849,1883.175057297456,take_profit,True,True,-2.25,43.25,19.22222222222222,2,6455,6456
167,865,2025-12-10T13:00:00,2025-12-10,2025-12-10T13:00:00,3883.175057297456,3843.139558595023,short,25614.5,25631.517749351216,25631.517749351216,25583.05713661314,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,-17.01774935121648,-1.0000000000000167,-34.03549870243296,6.0,-40.03549870243296,1843.1395585950231,stop,False,False,-220.25,12.0,0.05448354143019296,1,6497,6497
168,865,2025-12-11T12:00:00,2025-12-11,2025-12-11T12:00:00,3843.139558595023,3803.10405989259,short,25592.0,25609.017749351216,25609.017749351216,25560.55713661314,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,-17.01774935121648,-1.0000000000000167,-34.03549870243296,6.0,-40.03549870243296,1803.1040598925902,stop,False,False,-95.0,10.0,0.10526315789473684,1,6519,6519
169,865,2025-12-11T20:00:00,2025-12-11,2025-12-11T22:00:00,3803.10405989259,3763.068561190157,long,25677.5,25660.482250648784,25660.482250648784,25708.94286338686,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,-17.01774935121648,-1.0000000000000167,-34.03549870243296,6.0,-40.03549870243296,1763.0685611901572,stop,False,False,-23.75,26.25,1.105263157894737,3,6526,6528
170,865,2025-12-14T20:00:00,2025-12-14,2025-12-14T20:00:00,3763.068561190157,3723.0330624877242,short,25518.75,25535.767749351216,25535.767749351216,25487.30713661314,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,-17.01774935121648,-1.0000000000000167,-34.03549870243296,6.0,-40.03549870243296,1723.0330624877242,stop,False,False,-23.25,7.75,0.3333333333333333,1,6549,6549
171,865,2025-12-16T11:00:00,2025-12-16,2025-12-16T11:00:00,3723.0330624877242,3779.9187892614427,short,25335.75,25304.30713661314,25352.767749351216,25304.30713661314,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,31.442863386859244,1.8476511046163775,62.88572677371849,6.0,56.88572677371849,1779.9187892614427,take_profit,True,True,-19.25,143.25,7.441558441558442,1,6587,6587
172,865,2025-12-16T15:00:00,2025-12-16,2025-12-16T15:00:00,3779.9187892614427,3836.804516035161,short,25372.25,25340.80713661314,25389.267749351216,25340.80713661314,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,31.442863386859244,1.8476511046163775,62.88572677371849,6.0,56.88572677371849,1836.8045160351612,take_profit,True,True,-3.75,64.25,17.133333333333333,1,6591,6591
173,865,2025-12-18T10:00:00,2025-12-18,2025-12-18T10:00:00,3836.804516035161,3796.7690173327283,short,25366.25,25383.267749351216,25383.267749351216,25334.80713661314,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,-17.01774935121648,-1.0000000000000167,-34.03549870243296,6.0,-40.03549870243296,1796.7690173327283,stop,False,False,-46.25,23.0,0.4972972972972973,1,6632,6632
174,865,2025-12-18T17:00:00,2025-12-18,2025-12-18T17:00:00,3796.7690173327283,3756.7335186302953,long,25240.0,25222.982250648784,25222.982250648784,25271.44286338686,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,-17.01774935121648,-1.0000000000000167,-34.03549870243296,6.0,-40.03549870243296,1756.7335186302953,stop,False,False,-30.25,17.5,0.5785123966942148,1,6638,6638
175,865,2025-12-22T12:00:00,2025-12-22,2025-12-22T12:00:00,3756.7335186302953,3716.6980199278623,long,25721.25,25704.232250648784,25704.232250648784,25752.69286338686,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,-17.01774935121648,-1.0000000000000167,-34.03549870243296,6.0,-40.03549870243296,1716.6980199278623,stop,False,False,-48.25,1.0,0.02072538860103627,1,6680,6680
176,865,2025-12-23T10:00:00,2025-12-23,2025-12-23T10:00:00,3716.6980199278623,3773.583746701581,long,25731.5,25762.94286338686,25714.482250648784,25762.94286338686,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,31.442863386859244,1.8476511046163775,62.88572677371849,6.0,56.88572677371849,1773.5837467015808,take_profit,True,True,-5.0,45.0,9.0,1,6701,6701
177,865,2025-12-28T22:00:00,2025-12-28,2025-12-28T23:00:00,3773.583746701581,3733.548247999148,long,25852.5,25835.482250648784,25835.482250648784,25883.94286338686,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,-17.01774935121648,-1.0000000000000167,-34.03549870243296,6.0,-40.03549870243296,1733.5482479991479,stop,False,False,-34.75,15.5,0.4460431654676259,2,6748,6749
178,865,2025-12-29T17:00:00,2025-12-29,2025-12-29T17:00:00,3733.548247999148,3790.4339747728663,short,25740.0,25708.55713661314,25757.017749351216,25708.55713661314,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,31.442863386859244,1.8476511046163775,62.88572677371849,6.0,56.88572677371849,1790.4339747728663,take_profit,True,True,-7.75,34.75,4.483870967741935,1,6766,6766
179,865,2025-12-31T10:00:00,2025-12-31,2025-12-31T10:00:00,3790.4339747728663,3750.3984760704334,short,25554.25,25571.267749351216,25571.267749351216,25522.80713661314,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,-17.01774935121648,-1.0000000000000167,-34.03549870243296,6.0,-40.03549870243296,1750.3984760704334,stop,False,False,-53.25,1.5,0.028169014084507043,1,6806,6806
180,865,2026-01-01T20:00:00,2026-01-01,2026-01-01T20:00:00,3750.3984760704334,3710.3629773680004,short,25555.25,25572.267749351216,25572.267749351216,25523.80713661314,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,-17.01774935121648,-1.0000000000000167,-34.03549870243296,6.0,-40.03549870243296,1710.3629773680004,stop,False,False,-52.25,0.25,0.004784688995215311,1,6815,6815
181,865,2026-01-04T17:00:00,2026-01-04,2026-01-04T17:00:00,3710.3629773680004,3670.3274786655675,short,25431.75,25448.767749351216,25448.767749351216,25400.30713661314,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,-17.01774935121648,-1.0000000000000167,-34.03549870243296,6.0,-40.03549870243296,1670.3274786655675,stop,False,False,-31.5,25.25,0.8015873015873016,1,6835,6835
182,865,2026-01-07T18:00:00,2026-01-07,2026-01-07T20:00:00,3670.3274786655675,3630.2919799631345,long,25822.75,25805.732250648784,25805.732250648784,25854.19286338686,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,-17.01774935121648,-1.0000000000000167,-34.03549870243296,6.0,-40.03549870243296,1630.2919799631345,stop,False,False,-48.75,21.75,0.4461538461538462,3,6904,6906
