combo_id,n_trades,gross_sharpe,mean_gross,std_gross,win_rate,entry_timing_offset,fill_slippage_ticks,cooldown_after_exit_bars
827,76,0.6415551864999502,818.41199334443,4615.526044062082,0.35526315789473684,1,0,0
2292,2106,0.6381166659178537,115.57664166881602,3449.6545907949057,0.3855650522317189,1,2,10
2422,115,0.637740324293297,481.4855729243745,3360.197198990935,0.4434782608695652,0,0,3
2555,1825,0.6377140374644468,133.10768569054136,3700.7098413271688,0.35232876712328765,1,0,10
1294,1479,0.6375099061909171,132.96211640373846,3328.905859922662,0.39418526031102097,1,2,3
1279,582,0.6373726263448417,209.12065837028965,3285.0460899939344,0.39862542955326463,0,1,3
1943,149,0.6364862316190772,519.3121876199884,4133.415662160457,0.3624161073825503,1,1,3
394,370,0.6335700497392892,219.29795033171573,2763.231305809599,0.45135135135135135,0,0,3
298,59,0.6327189129002104,599.2900892050716,3019.4561712672116,0.3559322033898305,0,2,0
392,955,0.6313713096951318,269.43842954466663,5473.34502952578,0.2031413612565445,1,0,10
30,378,0.6289358686827945,258.7000645044163,3319.0402437503717,0.3941798941798942,0,0,10
935,244,0.6195590410330573,246.47256064157486,2579.0350019831203,0.4672131147540984,1,0,0
550,274,0.6192275083294548,216.49333164316548,2401.850706897526,0.4781021897810219,0,0,3
70,868,0.6178650001559121,195.8602802746661,3876.0474458333424,0.32142857142857145,1,1,10
2103,70,0.6144237388269481,476.4400185949335,2692.561992904412,0.5142857142857142,0,1,3
736,905,0.6135256219282043,226.65666860375433,4612.501617177363,0.30165745856353593,2,0,0
1892,52,0.6079997822807757,506.625457805977,2493.800468662376,0.5576923076923077,2,1,3
898,1995,0.6045941789689759,122.2648858387891,3748.743106767578,0.35037593984962406,1,0,3
170,533,0.6041970481093519,226.52123277338015,3592.2815422522594,0.34709193245778613,1,0,0
857,1065,0.6035150958793679,157.79355629622782,3541.2156545115586,0.355868544600939,2,0,3
96,71,0.6005741166863116,701.3297869124063,4083.7701726693545,0.22535211267605634,1,1,3
1551,120,0.5989100371839533,518.1812284198206,3933.5724419855355,0.20833333333333334,0,2,0
599,1484,0.5973198172289871,126.60224876153902,3388.6591848172257,0.35983827493261455,2,1,10
1058,203,0.5948265952464921,208.8405885513315,2076.1034703106266,0.43842364532019706,1,2,0
2043,1194,0.5920120245900348,137.907526202639,3340.6890114242083,0.3685092127303183,2,1,10
2227,94,0.5905919005781382,644.3706848356081,4390.244013126682,0.2553191489361702,2,0,0
1417,598,0.5828494220108705,241.35373215827443,4202.6641534520095,0.3076923076923077,1,0,10
2831,944,0.5799357777162625,194.50610059841642,4276.768740795963,0.2838983050847458,1,1,10
2368,72,0.5779461703532777,584.7851229144554,3563.2936867981552,0.19444444444444445,0,1,3
1200,519,0.576908495136637,274.12054179300134,4492.569157925915,0.279383429672447,0,0,3
1959,195,0.5760225849226203,283.5875324996237,2853.2601621584945,0.39487179487179486,2,0,0
